codepoint,edition,sequence,commons_title,page,side,rotation,crop_x0,crop_x1,x,y,w,h,render_width,frame_top,pitch,kind,score,juan,radical,similarity,status
3D012,ccz,C-00017,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,left,-0.102,0,961,697,526,56,93,1920,515,83.72,inline,0.992,卷一上,3,0.941,approved
3D013,ccz,C-00018,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,left,-0.102,0,961,519,791,70,102,1920,515,83.72,inline,0.972,卷一上,3,0.932,approved
3D014,ccz,C-00019,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,left,-0.102,0,961,435,518,65,96,1920,515,83.72,headword,1.0,卷一上,3,0.964,approved
3D015,ccz,C-00020,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,left,-0.102,0,961,351,513,67,113,1920,515,83.72,inline,0.994,卷一上,3,0.888,approved
3D016,ccz,C-00021,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,left,-0.102,0,961,356,1607,62,100,1920,515,83.72,inline,0.985,卷一上,3,0.964,approved
3D017,ccz,C-00022,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,left,-0.102,0,961,181,520,70,99,1920,515,83.72,headword,1.0,卷一上,3,0.953,approved
3D018,ccz,C-00023,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,left,-0.102,0,961,97,520,65,102,1920,515,83.72,headword,0.999,卷一上,3,0.755,approved
3D019,ccz,C-00024,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,right,0.299,967,1920,793,513,65,102,1920,509,83.68,headword,0.998,卷一上,3,0.911,approved
3D01A,ccz,C-00025,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,right,0.299,967,1920,706,505,71,115,1920,509,83.68,inline,0.995,卷一上,3,0.915,approved
3D01B,ccz,C-00026,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,right,0.299,967,1920,623,510,61,100,1920,509,83.68,inline,0.994,卷一上,3,0.961,approved
3D01C,ccz,C-00027,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,right,0.299,967,1920,537,510,68,109,1920,509,83.68,inline,0.887,卷一上,3,0.965,approved
3D01D,ccz,C-00028,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,right,0.299,967,1920,454,513,65,96,1920,509,83.68,headword,1.0,卷一上,3,0.95,approved
3D01E,ccz,C-00029,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,right,0.299,967,1920,370,505,66,115,1920,509,83.68,inline,0.991,卷一上,3,0.886,approved
3D01F,ccz,C-00030,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,right,0.299,967,1920,286,521,67,92,1920,509,83.68,headword,0.999,卷一上,3,0.93,approved
3D020,ccz,C-00031,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,right,0.299,967,1920,199,509,67,115,1920,509,83.68,inline,0.996,卷一上,3,0.946,approved
3D021,ccz,C-00032,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,right,0.299,967,1920,205,1054,68,105,1920,509,83.68,inline,1.0,卷一上,3,0.9,approved
3D022,ccz,C-00033,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,right,0.299,967,1920,116,521,64,92,1920,509,83.68,headword,1.0,卷一上,3,0.878,approved
3D023,ccz,C-00034,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,right,0.299,967,1920,34,523,66,85,1920,509,83.68,inline,0.996,卷一上,3,0.858,approved
