action,edition,commons_title,page,side,x,y,w,h,codepoint,reason
add,ccz,"File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf",21,right,117,693,53,82,3D069,人工指定：古文王，原配對切片為楷字
add,ccz,"File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf",57,right,274,618,69,97,3D30D,人工指定：新附「荀」，原偵測為界欄殘線
add,ccz,"File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf",36,left,354,506,70,108,3D170,人工指定：藎，機器配到楷字「艸予聲」
assign,ccz,"File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf",54,left,422,507,67,108,3D2DC,人工指定：菲
assign,ccz,"File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf",55,left,844,519,65,108,3D2EB,人工指定：䓊
keep-lines,ccz,"File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf",30,right,,,,,3D10F,𨌥 的中豎貫穿整個切片，不可當界欄線移除
assign,ccz,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,left,694,521,62,102,3D012,review 2026-09-18T12:24:50:
assign,ccz,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,left,517,786,73,110,3D013,review 2026-09-18T12:25:06:
assign,ccz,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,right,534,508,73,105,3D01C,review 2026-09-18T12:26:43:
assign,ccz,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,20,right,619,1541,73,105,3D054,review 2026-09-18T12:31:40: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,20,right,367,1557,71,92,3D057,review 2026-09-18T12:31:41: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,49,right,540,509,73,108,3D26C,review 2026-09-18T12:31:43: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,49,right,373,518,71,85,3D26E,review 2026-09-18T12:31:43: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,49,left,343,512,70,99,3D278,review 2026-09-18T12:31:45: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,32,left,92,1491,72,99,3D121,review 2026-09-18T12:31:46: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,33,left,426,502,73,103,3D130,review 2026-09-18T12:31:48: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,49,left,260,510,68,103,3D279,review 2026-09-18T12:31:51: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,44,left,603,541,70,92,3D211,review 2026-09-18T12:31:52: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,49,left,174,512,71,97,3D27A,review 2026-09-18T12:31:53: 審核：切片正確
assign,ccz,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,57,right,103,613,70,119,3D30F,review 2026-09-18T12:31:53: 審核：切片正確
