codepoint,edition,sequence,commons_title,page,side,rotation,crop_x0,crop_x1,x,y,w,h,render_width,kind,score,juan,radical,status
3D000,ccz,C-00001,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,15,left,0.088,0,964,361,552,61,11,1920,headword,0.5,卷一上,1,aligned
3D001,ccz,C-00002,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,15,left,0.088,0,964,270,892,68,101,1920,inline,0.872,卷一上,1,aligned
3D002,ccz,C-00003,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,15,left,0.088,0,964,192,519,53,95,1920,headword,0.988,卷一上,1,aligned
3D003,ccz,C-00004,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,15,left,0.088,0,964,105,523,55,89,1920,headword,0.71,卷一上,1,aligned
3D004,ccz,C-00005,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,right,-0.189,961,1920,796,516,58,94,1920,headword,1.0,卷一上,1,aligned
3D005,ccz,C-00006,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,right,-0.189,961,1920,713,512,56,99,1920,headword,0.997,卷一上,1,aligned
3D006,ccz,C-00007,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,right,-0.189,961,1920,538,513,58,89,1920,headword,0.993,卷一上,2,aligned
3D008,ccz,C-00008,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,right,-0.189,961,1920,534,1595,60,93,1920,inline,0.958,卷一上,2,aligned
3D009,ccz,C-00009,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,right,-0.189,961,1920,373,512,56,97,1920,headword,0.999,卷一上,2,aligned
3D00A,ccz,C-00010,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,right,-0.189,961,1920,367,1385,59,94,1920,inline,0.948,卷一上,2,aligned
3D00B,ccz,C-00011,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,right,-0.189,961,1920,119,515,57,95,1920,headword,1.0,卷一上,2,aligned
3D00C,ccz,C-00012,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,right,-0.189,961,1920,114,1109,67,104,1920,inline,0.914,卷一上,2,aligned
3D00D,ccz,C-00013,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,right,-0.189,961,1920,113,1387,69,92,1920,inline,0.908,卷一上,2,aligned
3D00E,ccz,C-00014,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,right,-0.189,961,1920,28,619,70,99,1920,inline,0.995,卷一上,2,aligned
3D00F,ccz,C-00015,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,left,-0.102,0,961,862,528,59,89,1920,headword,0.996,卷一上,2,aligned
3D011,ccz,C-00016,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,left,-0.102,0,961,866,960,52,92,1920,inline,0.986,卷一上,2,aligned
3D012,ccz,C-00017,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,left,-0.102,0,961,697,526,56,93,1920,headword,0.999,卷一上,3,aligned
3D013,ccz,C-00018,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,left,-0.102,0,961,519,791,70,102,1920,inline,0.993,卷一上,3,aligned
3D014,ccz,C-00019,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,left,-0.102,0,961,435,518,65,96,1920,headword,0.995,卷一上,3,aligned
3D015,ccz,C-00020,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,left,-0.102,0,961,434,831,74,108,1920,inline,0.818,卷一上,3,aligned
3D016,ccz,C-00021,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,left,-0.102,0,961,351,519,67,98,1920,headword,0.999,卷一上,3,aligned
3D017,ccz,C-00022,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,left,-0.102,0,961,356,1607,62,100,1920,inline,0.986,卷一上,3,aligned
3D018,ccz,C-00023,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,left,-0.102,0,961,181,520,70,99,1920,headword,0.999,卷一上,3,aligned
3D019,ccz,C-00024,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,16,left,-0.102,0,961,97,520,65,102,1920,headword,0.988,卷一上,3,aligned
3D01A,ccz,C-00025,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,right,0.299,967,1920,793,513,65,102,1920,headword,0.943,卷一上,3,aligned
3D01B,ccz,C-00026,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,right,0.299,967,1920,706,515,71,96,1920,headword,0.994,卷一上,3,aligned
3D01C,ccz,C-00027,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,right,0.299,967,1920,623,509,61,101,1920,headword,0.996,卷一上,3,aligned
3D01D,ccz,C-00028,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,right,0.299,967,1920,537,509,69,102,1920,headword,0.999,卷一上,3,aligned
3D01E,ccz,C-00029,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,right,0.299,967,1920,454,513,65,96,1920,headword,0.996,卷一上,3,aligned
3D01F,ccz,C-00030,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,right,0.299,967,1920,370,516,67,94,1920,headword,1.0,卷一上,3,aligned
3D020,ccz,C-00031,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,right,0.299,967,1920,286,521,67,92,1920,headword,0.996,卷一上,3,aligned
3D021,ccz,C-00032,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,right,0.299,967,1920,199,513,69,100,1920,headword,0.999,卷一上,3,aligned
3D022,ccz,C-00033,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,right,0.299,967,1920,205,1054,68,105,1920,inline,0.999,卷一上,3,aligned
3D023,ccz,C-00034,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,right,0.299,967,1920,116,521,64,92,1920,headword,0.996,卷一上,3,aligned
3D024,ccz,C-00035,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,right,0.299,967,1920,34,519,66,93,1920,headword,0.999,卷一上,3,aligned
3D026,ccz,C-00036,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,left,-0.315,0,967,864,506,71,103,1920,headword,0.999,卷一上,3,aligned
3D027,ccz,C-00037,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,left,-0.315,0,967,780,500,73,108,1920,headword,0.999,卷一上,3,aligned
3D028,ccz,C-00038,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,left,-0.315,0,967,695,509,74,100,1920,headword,0.991,卷一上,3,aligned
3D029,ccz,C-00039,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,left,-0.315,0,967,622,505,62,106,1920,headword,0.995,卷一上,3,aligned
3D02A,ccz,C-00040,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,left,-0.315,0,967,612,1164,68,104,1920,inline,0.991,卷一上,3,aligned
3D02B,ccz,C-00041,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,left,-0.315,0,967,535,511,66,99,1920,headword,0.998,卷一上,3,aligned
3D02D,ccz,C-00042,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,left,-0.315,0,967,530,1545,66,104,1920,inline,0.99,卷一上,3,aligned
3D02E,ccz,C-00043,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,left,-0.315,0,967,368,510,63,98,1920,headword,0.998,卷一上,3,aligned
3D02F,ccz,C-00044,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,left,-0.315,0,967,282,517,66,89,1920,headword,0.609,卷一上,3,aligned
3D030,ccz,C-00045,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,left,-0.315,0,967,277,1166,71,98,1920,inline,0.981,卷一上,3,aligned
3D031,ccz,C-00046,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,left,-0.315,0,967,191,500,75,109,1920,headword,0.954,卷一上,3,aligned
3D032,ccz,C-00047,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,17,left,-0.315,0,967,119,728,61,103,1920,inline,0.97,卷一上,3,aligned
3D033,ccz,C-00048,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,right,0.463,966,1920,795,502,71,100,1920,headword,0.999,卷一上,3,aligned
3D034,ccz,C-00049,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,right,0.463,966,1920,711,500,64,104,1920,headword,0.998,卷一上,3,aligned
3D035,ccz,C-00050,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,right,0.463,966,1920,627,502,67,99,1920,headword,0.999,卷一上,3,aligned
3D036,ccz,C-00051,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,right,0.463,966,1920,544,509,68,91,1920,headword,0.998,卷一上,3,aligned
3D037,ccz,C-00052,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,right,0.463,966,1920,460,496,73,108,1920,headword,0.995,卷一上,3,aligned
3D038,ccz,C-00053,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,right,0.463,966,1920,375,669,72,101,1920,inline,0.996,卷一上,3,aligned
3D039,ccz,C-00054,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,right,0.463,966,1920,292,500,72,98,1920,headword,0.999,卷一上,3,aligned
3D03A,ccz,C-00055,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,right,0.463,966,1920,205,508,67,98,1920,headword,0.997,卷一上,3,aligned
3D03B,ccz,C-00056,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,right,0.463,966,1920,33,495,78,107,1920,headword,0.999,卷一上,3,aligned
3D03C,ccz,C-00057,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,left,-0.476,0,966,866,495,78,111,1920,headword,0.999,卷一上,3,aligned
3D03D,ccz,C-00058,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,left,-0.476,0,966,694,495,73,110,1920,headword,0.914,卷一上,3,aligned
3D03E,ccz,C-00059,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,left,-0.476,0,966,615,508,68,97,1920,headword,1.0,卷一上,3,aligned
3D03F,ccz,C-00060,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,left,-0.476,0,966,527,505,69,99,1920,headword,0.999,卷一上,3,aligned
3D040,ccz,C-00061,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,left,-0.476,0,966,357,495,73,109,1920,headword,0.999,卷一上,3,aligned
3D041,ccz,C-00062,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,left,-0.476,0,966,272,499,74,107,1920,headword,0.996,卷一上,3,aligned
3D042,ccz,C-00063,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,18,left,-0.476,0,966,113,504,64,98,1920,headword,0.992,卷一上,3,aligned
3D043,ccz,C-00064,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,right,0.32,964,1920,707,507,71,91,1920,headword,0.991,卷一上,3,aligned
3D044,ccz,C-00065,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,right,0.32,964,1920,625,496,68,100,1920,headword,0.999,卷一上,3,aligned
3D045,ccz,C-00066,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,right,0.32,964,1920,541,504,64,94,1920,headword,0.995,卷一上,3,aligned
3D046,ccz,C-00067,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,right,0.32,964,1920,456,493,67,107,1920,headword,0.998,卷一上,3,aligned
3D047,ccz,C-00068,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,right,0.32,964,1920,462,1219,66,98,1920,inline,1.0,卷一上,3,aligned
3D048,ccz,C-00069,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,right,0.32,964,1920,465,1488,60,103,1920,inline,0.998,卷一上,3,aligned
3D049,ccz,C-00070,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,right,0.32,964,1920,296,496,56,106,1920,headword,0.999,卷一上,3,aligned
3D04A,ccz,C-00071,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,right,0.32,964,1920,37,490,71,112,1920,headword,0.994,卷一上,3,aligned
3D04B,ccz,C-00072,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,left,-0.272,0,964,782,513,68,100,1920,headword,0.999,卷一上,3,aligned
3D04C,ccz,C-00073,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,left,-0.272,0,964,779,1507,69,109,1920,inline,0.911,卷一上,3,aligned
3D04D,ccz,C-00074,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,left,-0.272,0,964,699,515,66,101,1920,headword,0.999,卷一上,3,aligned
3D04E,ccz,C-00075,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,left,-0.272,0,964,615,512,65,104,1920,headword,0.999,卷一上,3,aligned
3D04F,ccz,C-00076,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,left,-0.272,0,964,529,518,64,95,1920,headword,0.994,卷一上,3,aligned
3D050,ccz,C-00077,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,left,-0.272,0,964,444,511,69,104,1920,headword,0.999,卷一上,3,aligned
3D051,ccz,C-00078,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,left,-0.272,0,964,359,517,69,99,1920,headword,0.998,卷一上,3,aligned
3D052,ccz,C-00079,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,left,-0.272,0,964,279,520,68,96,1920,headword,0.998,卷一上,3,aligned
3D053,ccz,C-00080,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,left,-0.272,0,964,280,1380,60,106,1920,inline,0.881,卷一上,3,aligned
3D054,ccz,C-00081,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,19,left,-0.272,0,964,111,514,67,101,1920,headword,0.999,卷一上,3,aligned
3D056,ccz,C-00082,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,20,right,0.734,964,1920,788,505,75,106,1920,headword,0.998,卷一上,3,aligned
3D057,ccz,C-00083,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,20,right,0.734,964,1920,618,511,66,101,1920,headword,0.998,卷一上,3,aligned
3D058,ccz,C-00084,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,20,right,0.734,964,1920,619,1541,73,105,1920,inline,0.995,卷一上,3,aligned
3D059,ccz,C-00085,File:NLC892-312002098744-312888 說文解字 十五卷 第1冊.pdf,20,right,0.734,964,1920,452,514,66,97,1920,headword,1.0,卷一上,3,aligned
