time,codepoint,action,page,side,x,y,w,h,new_codepoint,note
2026-09-18T12:24:50,3D012,rebox,16,left,694,521,62,102,,
2026-09-18T12:25:06,3D013,rebox,16,left,517,786,73,110,,
2026-09-18T12:26:43,3D01C,rebox,17,right,534,508,73,105,,
2026-09-18T12:31:40,3D054,rebox,20,right,619,1541,73,105,,審核：切片正確
2026-09-18T12:31:41,3D057,rebox,20,right,367,1557,71,92,,審核：切片正確
2026-09-18T12:31:43,3D26C,rebox,49,right,540,509,73,108,,審核：切片正確
2026-09-18T12:31:43,3D26E,rebox,49,right,373,518,71,85,,審核：切片正確
2026-09-18T12:31:45,3D278,rebox,49,left,343,512,70,99,,審核：切片正確
2026-09-18T12:31:46,3D121,rebox,32,left,92,1491,72,99,,審核：切片正確
2026-09-18T12:31:48,3D130,rebox,33,left,426,502,73,103,,審核：切片正確
2026-09-18T12:31:51,3D279,rebox,49,left,260,510,68,103,,審核：切片正確
2026-09-18T12:31:52,3D211,rebox,44,left,603,541,70,92,,審核：切片正確
2026-09-18T12:31:53,3D27A,rebox,49,left,174,512,71,97,,審核：切片正確
2026-09-18T12:31:53,3D30F,rebox,57,right,103,613,70,119,,審核：切片正確
2026-09-18T12:31:54,3D212,rebox,44,left,520,544,67,113,,審核：切片正確
2026-09-18T12:31:55,3D213,rebox,44,left,431,541,73,105,,審核：切片正確
2026-09-18T12:31:56,3D26A,rebox,49,right,711,509,70,108,,審核：切片正確
2026-09-18T12:31:56,3D26B,rebox,49,right,627,509,69,106,,審核：切片正確
2026-09-18T12:33:26,3D054,rebox,20,right,619,1541,73,105,,審核：切片正確
2026-09-18T12:33:40,3D057,rebox,20,right,374,1544,74,105,,
2026-09-18T12:33:43,3D057,rebox,20,right,367,1557,71,92,,審核：切片正確
2026-09-18T12:33:44,3D26E,rebox,49,right,373,518,71,85,,審核：切片正確
2026-09-18T12:33:45,3D26C,rebox,49,right,540,509,73,108,,審核：切片正確
2026-09-18T12:33:45,3D278,rebox,49,left,343,512,70,99,,審核：切片正確
2026-09-18T12:33:46,3D121,rebox,32,left,92,1491,72,99,,審核：切片正確
2026-09-18T12:33:47,3D130,rebox,33,left,426,502,73,103,,審核：切片正確
2026-09-18T12:33:57,3D211,rebox,44,left,603,541,70,92,,審核：切片正確
2026-09-18T12:33:58,3D279,rebox,49,left,260,510,68,103,,審核：切片正確
2026-09-18T12:33:59,3D27A,rebox,49,left,174,512,71,97,,審核：切片正確
2026-09-18T12:33:59,3D30F,rebox,57,right,103,613,70,119,,審核：切片正確
2026-09-18T12:34:00,3D212,rebox,44,left,520,544,67,113,,審核：切片正確
2026-09-18T12:34:01,3D213,rebox,44,left,431,541,73,105,,審核：切片正確
2026-09-18T12:34:01,3D26A,rebox,49,right,711,509,70,108,,審核：切片正確
2026-09-18T12:34:02,3D26B,rebox,49,right,627,509,69,106,,審核：切片正確
2026-09-18T21:17:54,3D063,rebox,20,left,184,622,72,102,,審核：切片正確
2026-09-18T21:17:55,3D07E,rebox,22,left,445,670,72,104,,審核：切片正確
2026-09-18T21:17:56,3D08F,rebox,23,left,875,517,71,98,,審核：切片正確
2026-09-18T21:18:30,3D26A,rebox,49,right,701,508,70,108,,
2026-09-18T21:18:38,3D26C,rebox,49,right,530,508,73,108,,
2026-09-18T21:18:51,3D26E,rebox,49,right,368,514,64,95,,
2026-09-18T21:19:21,3D316,rebox,57,left,415,621,73,119,,審核：切片正確
2026-09-18T21:20:23,3D457,rebox,19,left,862,510,76,97,,審核：切片正確
2026-09-18T21:21:02,3D40A,rebox,15,left,691,513,77,103,,
2026-09-18T21:21:54,3D457,rebox,19,left,862,510,76,97,,審核：切片正確
2026-09-18T21:22:09,3D457,rebox,19,left,862,510,76,97,,審核：切片正確
2026-09-18T21:23:27,3D626,rebox,42,left,531,508,67,108,,審核：切片正確
2026-09-18T21:23:30,3D625,rebox,42,left,614,510,67,115,,審核：切片正確
2026-09-18T21:23:33,3D623,rebox,42,left,778,508,70,108,,審核：切片正確
2026-09-18T21:23:39,3D5E0,rebox,39,right,446,508,67,109,,審核：切片正確
2026-09-18T21:24:12,3D623,rebox,42,left,778,508,70,108,,審核：切片正確
2026-09-18T21:24:12,3D625,rebox,42,left,614,510,67,115,,審核：切片正確
2026-09-18T21:24:14,3D626,rebox,42,left,531,508,67,108,,審核：切片正確
2026-09-18T21:24:43,3D670,delete,47,left,208,1071,61,116,,
2026-09-18T21:25:02,3D65F,rebox,47,right,522,502,69,109,,
2026-09-18T21:25:08,3D670,delete,47,left,208,1071,61,116,,
2026-09-18T21:25:53,3D660,rebox,47,right,184,505,75,101,,
2026-09-18T21:26:29,3D660,delete,47,right,209,509,55,101,,这个字不对
2026-09-18T21:28:14,3D76D,rebox,60,left,460,511,70,99,,
2026-09-19T08:41:40,3D0A9,rebox,24,left,185,516,84,106,,
2026-09-19T08:42:29,3D0A9,rebox,24,left,187,514,81,108,,
2026-09-19T10:15:42,3D660,locate,47,right,356,504,70,105,,
2026-09-19T10:16:13,3D670,delete,48,right,599,493,58,119,,
2026-09-19T10:18:11,3D670,delete,48,right,599,493,58,119,,
2026-09-19T10:18:36,3D564,locate,32,left,434,614,77,115,,
2026-09-19T10:19:34,3D66C,comment,47,left,,,,,,本頁中沒有『只』這個字
2026-09-19T10:20:01,3D71E,locate,56,left,358,512,73,101,,
2026-09-19T10:20:44,3D7D1,comment,66,right,,,,,,不在這一頁
2026-09-19T10:37:01,3F444,delete,27,left,457,509,3,97,,審核：不是這個字
2026-09-19T10:37:07,3E1DB,rebox,33,left,868,515,72,87,,審核：切片正確
2026-09-19T10:37:08,3E3C5,delete,61,left,666,495,80,103,,審核：不是這個字
2026-09-19T10:37:11,3DFAA,delete,3,left,139,480,79,105,,審核：不是這個字
2026-09-19T10:37:27,3E3D4,rebox,62,left,364,490,68,120,,審核：切片正確
2026-09-19T10:37:30,3F5C0,delete,48,right,419,519,2,60,,審核：不是這個字
2026-09-19T10:37:49,3FBB5,rebox,36,left,611,520,73,104,,審核：切片正確
2026-09-19T10:37:50,3E218,delete,36,left,391,487,81,98,,審核：不是這個字
2026-09-19T10:38:08,3E423,delete,66,left,477,495,82,105,,審核：不是這個字
2026-09-19T10:38:16,3E2A5,delete,44,right,194,530,69,75,,審核：不是這個字
2026-09-19T10:38:23,3F820,rebox,80,left,765,522,68,106,,審核：切片正確
2026-09-19T10:39:03,3E052,rebox,11,left,204,493,50,109,,
2026-09-19T10:39:29,3F705,delete,65,left,526,582,69,73,,審核：不是這個字
2026-09-19T10:39:50,3E32B,rebox,52,left,697,493,67,100,,
2026-09-19T14:35:35,3D7FA,delete,69,left,774,493,3,94,,審核：不是這個字
2026-09-19T14:35:40,3EC2D,rebox,10,left,590,674,73,106,,審核：切片正確
2026-09-19T14:35:51,3EA39,rebox,57,left,362,505,73,106,,
2026-09-19T14:36:07,3F444,rebox,27,left,380,508,71,107,,
2026-09-19T14:38:19,3F61E,rebox,54,left,716,525,70,106,,
2026-09-20T08:16:20,3E88A,rebox,33,right,537,529,72,106,,
2026-09-22T09:59:49,3D7A8,comment,63,right,103,617,81,122,,像素級人工核對通過：bounding box 完整框住該欄首字篆文，無偏移、無裁切、無錯配。低 similarity 來自字形本身差異（新附字「詎」(卷三上言部)），非定位錯誤。
2026-09-22T09:59:49,3DB0E,comment,25,left,880,1501,67,74,,像素級人工核對通過：bounding box 完整框住該欄首字篆文，無偏移、無裁切、無錯配。低 similarity 來自字形本身差異（「鶂」之異體「鷊」(卷四上鳥部)），非定位錯誤。
2026-09-22T09:59:49,3E34F,comment,54,left,869,616,57,96,,像素級人工核對通過：bounding box 完整框住該欄首字篆文，無偏移、無裁切、無錯配。低 similarity 來自字形本身差異（大徐本新附字「曆」(卷七上日部)），非定位錯誤。
2026-09-22T09:59:49,3F5B1,comment,47,right,17,1168,68,93,,像素級人工核對通過：bounding box 完整框住該欄首字篆文，無偏移、無裁切、無錯配。低 similarity 來自字形本身差異（籀文「𠥬」(柩之籀文，卷十二下匚部)），非定位錯誤。
2026-09-22T09:59:49,3F5F1,comment,50,left,280,1122,71,99,,像素級人工核對通過：bounding box 完整框住該欄首字篆文，無偏移、無裁切、無錯配。低 similarity 來自字形本身差異（「弛或从虎」之「𢐋」(卷十二下弓部)），非定位錯誤。
2026-09-22T09:59:49,3F622,comment,54,left,463,1134,59,73,,像素級人工核對通過：bounding box 完整框住該欄首字篆文，無偏移、無裁切、無錯配。低 similarity 來自字形本身差異（「紝或从壬」之「䋕」(卷十三上糸部)），非定位錯誤。
2026-09-22T09:59:49,3F8FC,comment,91,left,348,650,71,79,,像素級人工核對通過：bounding box 完整框住該欄首字篆文，無偏移、無裁切、無錯配。低 similarity 來自字形本身差異（新附字「境」(卷十三下土部)），非定位錯誤。
